1	5	3	7
2	5	7	6
3	5	9	7
4	5	4	9
5	5	3	8
6	5	4	7
7	5	2	5
8	5	2	1
9	5	1	4
10	5	6	3
11	5	6	5
12	5	6	4
13	5	1	3
14	5	3	5
15	5	3	9
16	5	5	8
17	5	1	1
18	5	1	7
19	5	7	4
20	5	8	8
21	5	4	7
22	5	6	4
23	5	8	6
24	5	2	9
25	5	1	9
26	5	6	2
27	5	2	5
28	5	3	9
29	5	9	9
30	5	9	9
31	5	8	7
32	5	8	6
33	5	8	9
34	5	7	8
35	5	6	3
36	5	5	5
37	5	7	5
38	5	5	5
39	5	6	8
40	5	9	6
41	5	4	8
42	5	6	2
43	5	8	6
44	5	8	8
45	5	1	2
46	5	3	2
47	5	5	4
48	5	2	6
49	5	6	7
50	5	7	1
51	5	5	7
52	5	8	7
53	5	4	8
54	5	6	4
55	5	7	2
56	5	7	4
57	5	7	7
58	5	6	8
59	5	7	5
60	5	8	6
61	5	4	5
62	5	8	4
63	5	5	9
64	5	1	7
65	5	5	8
66	5	8	5
67	5	2	5
68	5	7	3
69	5	8	8
70	5	1	2
71	5	3	8
72	5	5	6
73	5	8	2
74	5	8	3
75	5	8	5
76	5	5	6
77	5	1	5
78	5	7	8
79	5	5	8
80	5	3	4
81	5	6	3
82	5	2	4
83	5	5	5
84	5	4	5
85	5	2	7
86	5	4	2
87	5	9	6
88	5	1	1
89	5	5	2
90	5	1	5
91	5	5	7
92	5	5	2
93	5	2	2
94	5	5	5
95	5	2	2
96	5	2	6
97	5	6	7
98	5	7	8
99	5	1	5
100	5	5	6
