1,5,6,4
2,5,2,10
3,5,9,9
4,5,4,2
5,5,9,2
6,5,5,6
7,5,7,3
8,5,2,7
9,5,5,1
10,5,8,6
11,5,1,9
12,5,9,9
13,5,4,3
14,5,3,6
15,5,1,1
16,5,2,10
17,5,5,3
18,5,7,2
19,5,4,5
20,5,3,2
21,5,6,5
22,5,1,6
23,5,1,2
24,5,8,4
25,5,5,7
26,5,7,3
27,5,6,10
28,5,9,2
29,5,5,5
30,5,2,7
31,5,4,9
32,5,3,8
33,5,7,3
34,5,9,4
35,5,4,6
36,5,8,2
37,5,7,4
38,5,6,8
39,5,5,7
40,5,2,5
41,5,4,3
42,5,5,6
43,5,7,4
44,5,1,4
45,5,10,2
46,5,8,5
47,5,6,4
48,5,6,8
49,5,4,5
50,5,10,2
51,5,2,9
52,5,3,2
53,5,8,2
54,5,2,3
55,5,3,7
56,5,5,9
57,5,6,7
58,5,2,7
59,5,7,9
60,5,3,8
61,5,3,2
62,5,9,4
63,5,5,2
64,5,10,9
65,5,9,8
66,5,4,10
67,5,5,2
68,5,2,4
69,5,8,7
70,5,3,5
71,5,9,4
72,5,10,2
73,5,6,7
74,5,1,5
75,5,8,4
76,5,6,1
77,5,4,4
78,5,8,7
79,5,7,7
80,5,5,4
81,5,6,7
82,5,5,8
83,5,8,2
84,5,5,4
85,5,9,9
86,5,10,10
87,5,2,9
88,5,3,5
89,5,9,9
90,5,5,4
91,5,9,7
92,5,1,8
93,5,7,7
94,5,6,8
95,5,4,5
96,5,10,5
97,5,1,4
98,5,1,6
99,5,2,3
100,5,10,5
